Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
Fábio Coentrão,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Ronaldo,Real Madrid,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.782608695652174
Kroos,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
James Rodríguez,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Hernández,Real Madrid,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Carvajal,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Isco,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
"Navas
 (GK)",Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Khedira,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Silva,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arbeloa,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017391304347826087
Nacho,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesé,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026086956521739132
Illarramendi,Real Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlo Ancelotti,Real Madrid(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oblak
 (GK)",Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Godín,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Tiago,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7478260869565218
Koke,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Griezmann,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652173913043478
Mandžukić,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Arda Turan,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Saúl Ñíguez,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Gámez,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Juanfran,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Miranda,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
"Moyà
 (GK)",Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siqueira,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raúl García,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608
Jiménez,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabi,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3826086956521739
Torres,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giménez,Atlético,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034782608695652174
Diego Simeone,Atlético(COACH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Subašić
 (GK)",Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Fabinho,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Kurzawa,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Abdennour,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
João Moutinho,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Bernardo Silva,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Carrasco,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7565217391304347
Kondogbia,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Martial,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6608695652173913
Raggi,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174
Toulalan,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
"Stekelenburg
 (GK)",Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dirar,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Berbatov,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3826086956521739
Matheus Carvalho,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026086956521739132
Wallace,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germain,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12173913043478261
Elderson,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
